glyph name;code points
bracketleft;U+005B
bracketright;U+005D
breve;U+02D8
brevecomb;U+0306
brevecomb.case;
brevecomb_acutecomb;
brevecomb_acutecomb.case;
brevecomb_gravecomb;
brevecomb_gravecomb.case;
brevecomb_hookabovecomb;
brevecomb_hookabovecomb.case;
brevecomb_tildecomb;
brevecomb_tildecomb.case;
brokenbar;U+00A6
bullet;U+2022
bullet.ss03;
c;U+0063
cacute;U+0107
caron;U+02C7
caroncomb;U+030C
caroncomb.alt;
ccaron;U+010D
ccedilla;U+00E7
ccircumflex;U+0109
cdotaccent;U+010B
cdotaccent.ss03;
cedilla;U+00B8
cedillacomb;U+0327
cent;U+00A2
circumflex;U+02C6
circumflexcomb;U+0302
circumflexcomb.case;
circumflexcomb_acutecomb;
circumflexcomb_acutecomb.case;
circumflexcomb_gravecomb;
circumflexcomb_gravecomb.case;
circumflexcomb_hookabovecomb;
circumflexcomb_hookabovecomb.case;
circumflexcomb_tildecomb;
circumflexcomb_tildecomb.case;
colon;U+003A
colon.ss03;
comma;U+002C
commaaccentcomb;U+0326
commaaccentcomb.loclMAH;
commaturnedabovecomb;U+0312
copyright;U+00A9
currency;U+00A4
d;U+0064
dagger;U+2020
daggerdbl;U+2021
dblgravecomb;U+030F
dcaron;U+010F
dcroat;U+0111
degree;U+00B0
dieresis;U+00A8
dieresis.ss03;
dieresiscomb;U+0308
dieresiscomb.ss03;
dieresistonos;U+0385
dieresistonos.ss03;
divide;U+00F7
divide.ss03;
divisionslash;U+2215
dollar;U+0024
dong;U+20AB
dotaccent;U+02D9
dotaccent.ss03;
dotaccentcomb;U+0307
dotaccentcomb.ss03;
dotbelowcomb;U+0323
dotbelowcomb.ss03;
e;U+0065
eacute;U+00E9
ebreve;U+0115
ecaron;U+011B
ecircumflex;U+00EA
ecircumflexacute;U+1EBF
ecircumflexdotbelow;U+1EC7
ecircumflexdotbelow.ss03;
ecircumflexgrave;U+1EC1
ecircumflexhookabove;U+1EC3
ecircumflextilde;U+1EC5
edieresis;U+00EB
edieresis.ss03;
edotaccent;U+0117
edotaccent.ss03;
edotbelow;U+1EB9
egrave;U+00E8
ehookabove;U+1EBB
eight;U+0038
eight.dnom;
eight.lf;
eight.numr;
ellipsis;U+2026
ellipsis.ss03;
emacron;U+0113
emdash;U+2014
emptyset;U+2205
endash;U+2013
eng;U+014B
eogonek;U+0119
equal;U+003D
eth;U+00F0
etilde;U+1EBD
euro;U+20AC
exclam;U+0021
exclam.ss03;
exclamationquestion;U+2049
exclamdown;U+00A1
exclamdown.ss03;
f;U+0066
f_f;
f_f_i;
f_f_l;
fi;U+FB01
five;U+0035
five.dnom;
five.lf;
five.numr;
fiveeighths;U+215D
fl;U+FB02
florin;U+0192
four;U+0034
four.dnom;
four.lf;
four.numr;
foursuperior;U+2074
fraction;U+2044
g;U+0067
g.ss01;
g.ss02;
gbreve;U+011F
gbreve.ss01;
gbreve.ss02;
gcaron;U+01E7
gcaron.ss01;
gcaron.ss02;
gcircumflex;U+011D
gcircumflex.ss01;
gcircumflex.ss02;
gcommaaccent;U+0123
gcommaaccent.ss01;
gcommaaccent.ss02;
gdotaccent;U+0121
gdotaccent.ss01;
gdotaccent.ss01.ss03;
gdotaccent.ss02;
gdotaccent.ss02.ss03;
gdotaccent.ss03;
germandbls;U+00DF
gmacron;U+1E21
gmacron.ss01;
gmacron.ss02;
grave;U+0060
gravecomb;U+0300
greater;U+003E
greaterequal;U+2265
guillemetleft;U+00AB
guillemetright;U+00BB
guilsinglleft;U+2039
guilsinglright;U+203A
h;U+0068
hbar;U+0127
hcircumflex;U+0125
hookabovecomb;U+0309
horizontalbar;U+2015
horncomb;U+031B
hryvnia;U+20B4
hungarumlaut;U+02DD
hungarumlautcomb;U+030B
hyphen;U+002D
hyphen_greater.liga;
i;U+0069
i.ss03;
iacute;U+00ED
ibreve;U+012D
icaron;U+01D0
icircumflex;U+00EE
idieresis;U+00EF
idieresis.ss03;
idotaccent;
idotaccent.ss03;
idotbelow;U+1ECB
idotbelow.ss03;
idotless;U+0131
igrave;U+00EC
ihookabove;U+1EC9
ij;U+0133
ijacute;
imacron;U+012B
increment;U+2206
infinity;U+221E
integral;U+222B
iogonek;U+012F
iogonek.ss03;
itilde;U+0129
j;U+006A
j.ss03;
jacute;
jcircumflex;U+0135
jdotless;U+0237
k;U+006B
kcommaaccent;U+0137
kgreenlandic;U+0138
l;U+006C
lacute;U+013A
lcaron;U+013E
lcommaaccent;U+013C
lcommaaccent.loclMAH;
ldot;U+0140
ldot.ss03;
leftArrow;U+2190
less;U+003C
less_hyphen.liga;
lessequal;U+2264
logicalnot;U+00AC
lowernumeral-greek;U+0375
lozenge;U+25CA
lslash;U+0142
m;U+006D
macron;U+00AF
macroncomb;U+0304
micro;U+00B5
middledoubleacuteaccentmod;U+02F6
middledoublegraveaccentmod;U+02F5
minus;U+2212
mu;U+03BC
multiply;U+00D7
n;U+006E
nacute;U+0144
napostrophe;U+0149
nbspace;U+00A0
ncaron;U+0148
ncommaaccent;U+0146
ncommaaccent.loclMAH;
ndotaccent;U+1E45
ndotaccent.ss03;
nhookleft;U+0272
nine;U+0039
nine.dnom;
nine.lf;
nine.numr;
notequal;U+2260
ntilde;U+00F1
numbersign;U+0023
numeral-greek;U+0374
numero;U+2116
o;U+006F
oacute;U+00F3
obreve;U+014F
ocaron;U+01D2
ocircumflex;U+00F4
ocircumflexacute;U+1ED1
ocircumflexdotbelow;U+1ED9
ocircumflexdotbelow.ss03;
ocircumflexgrave;U+1ED3
ocircumflexhookabove;U+1ED5
ocircumflextilde;U+1ED7
odieresis;U+00F6
odieresis.ss03;
odotbelow;U+1ECD
oe;U+0153
ogonek;U+02DB
ogonekcomb;U+0328
ograve;U+00F2
ohookabove;U+1ECF
ohorn;U+01A1
ohornacute;U+1EDB
ohorndotbelow;U+1EE3
ohorndotbelow.ss03;
ohorngrave;U+1EDD
ohornhookabove;U+1EDF
ohorntilde;U+1EE1
ohungarumlaut;U+0151
omacron;U+014D
one;U+0031
one.dnom;
one.lf;
one.numr;
oneeighth;U+215B
onehalf;U+00BD
onequarter;U+00BC
onesuperior;U+00B9
oogonek;U+01EB
ordfeminine;U+00AA
ordmasculine;U+00BA
oslash;U+00F8
oslashacute;U+01FF
otilde;U+00F5
p;U+0070
paragraph;U+00B6
parenleft;U+0028
parenright;U+0029
partialdiff;U+2202
percent;U+0025
period;U+002E
period.ss03;
periodcentered;U+00B7
periodcentered.ss03;
pertenthousand;U+2031
perthousand;U+2030
peso;U+20B1
pi;U+03C0
plus;U+002B
plusminus;U+00B1
product;U+220F
q;U+0071
question;U+003F
question.ss03;
questiondown;U+00BF
questiondown.ss03;
questiongreek;U+037E
questiongreek.ss03;
quotedbl;U+0022
quotedblbase;U+201E
quotedblleft;U+201C
quotedblright;U+201D
quoteleft;U+2018
quoteright;U+2019
quotesinglbase;U+201A
quotesingle;U+0027
r;U+0072
racute;U+0155
radical;U+221A
rcaron;U+0159
rcommaaccent;U+0157
registered;U+00AE
rightArrow;U+2192
ring;U+02DA
ringcomb;U+030A
ringcomb.case;
ruble;U+20BD
s;U+0073
sacute;U+015B
scaron;U+0161
scedilla;U+015F
schwa;U+0259
scircumflex;U+015D
scommaaccent;U+0219
section;U+00A7
semicolon;U+003B
semicolon.ss03;
seven;U+0037
seven.dnom;
seven.lf;
seven.numr;
seveneighths;U+215E
six;U+0036
six.dnom;
six.lf;
six.numr;
slash;U+002F
slashlongcomb;U+0338
slashlongcomb.case;
slashshortcomb;U+0337
slashshortcomb.case;
softhyphen;U+00AD
space;U+0020
sterling;U+00A3
strokelongcomb;U+0336
strokeshortcomb;U+0335
summation;U+2211
t;U+0074
tbar;U+0167
tcaron;U+0165
tcedilla;U+0163
tcommaaccent;U+021B
tenge;U+20B8
thorn;U+00FE
three;U+0033
three.dnom;
three.lf;
three.numr;
threeeighths;U+215C
threequarters;U+00BE
threesuperior;U+00B3
tilde;U+02DC
tildecomb;U+0303
tildecomb.case;
tonos;U+0384
tonos.case;
trademark;U+2122
triangularbullet;U+2023
two;U+0032
two.dnom;
two.lf;
two.numr;
twodotenleader;U+2025
twodotenleader.ss03;
twosuperior;U+00B2
u;U+0075
uacute;U+00FA
ubreve;U+016D
ucaron;U+01D4
ucircumflex;U+00FB
udieresis;U+00FC
udieresis.ss03;
udotbelow;U+1EE5
udotbelow.ss03;
ugrave;U+00F9
uhookabove;U+1EE7
uhorn;U+01B0
uhornacute;U+1EE9
uhorndotbelow;U+1EF1
uhorndotbelow.ss03;
uhorngrave;U+1EEB
uhornhookabove;U+1EED
uhorntilde;U+1EEF
uhungarumlaut;U+0171
umacron;U+016B
underscore;U+005F
uogonek;U+0173
uring;U+016F
utilde;U+0169
v;U+0076
w;U+0077
wacute;U+1E83
wcircumflex;U+0175
wdieresis;U+1E85
wdieresis.ss03;
wgrave;U+1E81
x;U+0078
y;U+0079
yacute;U+00FD
ycircumflex;U+0177
ydieresis;U+00FF
ydieresis.ss03;
ydotbelow;U+1EF5
ydotbelow.ss03;
yen;U+00A5
ygrave;U+1EF3
yhookabove;U+1EF7
ymacron;U+0233
ytilde;U+1EF9
z;U+007A
zacute;U+017A
zcaron;U+017E
zdotaccent;U+017C
zdotaccent.ss03;
zero;U+0030
zero.dnom;
zero.lf;
zero.numr;
